0,CombatZoneResize,241,226,406,391,TLPause,,
0,HeartTeleport,320,304,,,,,
0,HeartMaxFallSpeed,700,,,,,,
0,TLResume,,,,,,,
0.2,SansHead,Closedeyes,,,,,,
0,SansTorso,shrug,,,,,,
0,sanstext,You must know that this                   is impossible,,,,,,
0,SansHead,Default,,,,,,
0,SansTorso,Default,,,,,,
,,,,,,,,
0.8,SansBody,HandDown,,,,,,
0,sansslam,1,,,,,,
0.2666,BoneStab,1,29,0.1333,0.266,,,
0,SansTorso,Default,,,,,,
0,SansAnimation,Idle,,,,,,
0.2,bonev,221,231,115,0,900,,
0,bonev,221,356,30,0,900,,
0,bonev,411,231,115,2,900,,
0,bonev,411,356,30,2,900,,
0.6,BoneVRepeat,221,231,115,0,350,8,280
0,BoneVRepeat,221,356,30,0,350,8,280
0,BoneVRepeat,411,231,115,2,350,8,280
0,BoneVRepeat,411,356,30,2,350,8,280
0,BoneVRepeat,206,231,115,0,350,8,280
0,BoneVRepeat,206,356,30,0,350,8,280
0,BoneVRepeat,426,231,115,2,350,8,280
0,BoneVRepeat,426,356,30,2,350,8,280
0,BoneVRepeat,191,231,118,0,350,8,280
0,BoneVRepeat,191,359,27,0,350,8,280
0,BoneVRepeat,441,231,118,2,350,8,280
0,BoneVRepeat,441,359,27,2,350,8,280
7,damageplayer,-30,0,,,,,
0,Sound,heartsplit,1,,,,,
0,EndAttack,,,,,,,
