0,CombatZoneResize,241,226,406,391,TLPause,,,
0,CombatZoneSpeed,300,,,,,,,
0,HeartMaxFallSpeed,700,,,,,,,
0,heartmode,0,,,,,,,
0,HeartTeleport,320,304,,,,,,
0,SansAnimation,Idle,,,,,,,
0,sanssweat,1,,,,,,,
0,TLResume,,,,,,,,
0,SansHead,noeyes,,,,,,,
0,sanstext,Do you know the feeling                 of endless reincarnation,,,,,,,
0,sanstext,die to die,,,,,,,
0,SansHead,Default,,,,,,,
0.5,sound,ding,,,,,,,
0,heartmode,1,,,,,,,
0,CombatZoneResize,241,226,406,391,,,,
0,CombatZoneSpeed,100,,,,,,,
0,SansAnimation,Idle,,,,,,,
0.8,GetHeartPos,HeartX,HeartY,,,,,,
0,ANGLE,Ang,50,20,$HeartX,$HeartY,,,
0,ANGLE,Ang2,590,20,$HeartX,$HeartY,,,
0,gasterblaster,0,0,0,50,20,$Ang,0.55,0.2
0,gasterblaster,0,640,0,590,20,$Ang2,0.55,0.2
0,BoneStab,1,29,0.6,0.1,,,,
0.55,BoneV,221,356,30,0,450,,,
0,bonev,206,356,30,0,450,,,
0,bonev,426,356,30,2,450,,,
0,bonev,441,356,30,2,450,,,
0.45,SET,llll,20,,,,,,
0,SUB,llll,$llll,1,,,,,
0,GetHeartPos,HeartX,HeartY,,,,,,
0,ANGLE,Ang,50,20,$HeartX,$HeartY,,,
0,ANGLE,Ang2,590,20,$HeartX,$HeartY,,,
0,gasterblaster,0,0,0,50,20,$Ang,0.55,0.2
0,gasterblaster,0,640,0,590,20,$Ang2,0.55,0.2
0,BoneStab,1,29,0.6,0.1,,,,
0.55,BoneV,221,356,30,0,450,,,
0,bonev,206,356,30,0,450,,,
0,bonev,426,356,30,2,450,,,
0,bonev,441,356,30,2,450,,,
0.45,JMPNZ,29,$llll,,,,,,
1.4,DamagePlayer,-30,0,,,,,,
0,sound,heartsplit,1,,,,,,
0,EndAttack,,,,,,,,
